package:{"ShipCount":1,"TimeMark":488309,"Ships":[{"SeqNum":1,"Distance":67.38,"Speed":"0.28","Position":1,"Amplitude":26}]}
package:{"ShipCount":1,"TimeMark":490524,"Ships":[{"SeqNum":1,"Distance":67.38,"Speed":"0.28","Position":1,"Amplitude":41}]}
package:{"ShipCount":1,"TimeMark":492740,"Ships":[{"SeqNum":1,"Distance":67.38,"Speed":"0.28","Position":1,"Amplitude":33}]}
package:{"ShipCount":1,"TimeMark":494955,"Ships":[{"SeqNum":1,"Distance":68.84,"Speed":"0.28","Position":1,"Amplitude":36}]}
package:{"ShipCount":1,"TimeMark":497171,"Ships":[{"SeqNum":1,"Distance":70.31,"Speed":"0.28","Position":1,"Amplitude":43}]}
package:{"ShipCount":1,"TimeMark":499387,"Ships":[{"SeqNum":1,"Distance":68.84,"Speed":"0.28","Position":1,"Amplitude":26}]}
package:{"ShipCount":1,"TimeMark":501602,"Ships":[{"SeqNum":1,"Distance":70.31,"Speed":"0.28","Position":1,"Amplitude":40}]}
package:{"ShipCount":1,"TimeMark":503818,"Ships":[{"SeqNum":1,"Distance":73.24,"Speed":"0.28","Position":1,"Amplitude":25}]}
package:{"ShipCount":1,"TimeMark":506033,"Ships":[{"SeqNum":1,"Distance":71.77,"Speed":"0.28","Position":1,"Amplitude":32}]}
package:{"ShipCount":1,"TimeMark":508249,"Ships":[{"SeqNum":1,"Distance":74.7,"Speed":"0.28","Position":1,"Amplitude":35}]}
package:{"ShipCount":1,"TimeMark":510465,"Ships":[{"SeqNum":1,"Distance":74.7,"Speed":"0.28","Position":1,"Amplitude":25}]}
package:{"ShipCount":1,"TimeMark":512680,"Ships":[{"SeqNum":1,"Distance":73.24,"Speed":"0.28","Position":1,"Amplitude":21}]}
package:{"ShipCount":1,"TimeMark":514896,"Ships":[{"SeqNum":1,"Distance":76.17,"Speed":"0.28","Position":1,"Amplitude":30}]}
package:{"ShipCount":1,"TimeMark":517112,"Ships":[{"SeqNum":1,"Distance":74.7,"Speed":"0.28","Position":1,"Amplitude":27}]}
package:{"ShipCount":1,"TimeMark":519327,"Ships":[{"SeqNum":1,"Distance":74.7,"Speed":"0.28","Position":1,"Amplitude":23}]}
package:{"ShipCount":1,"TimeMark":521543,"Ships":[{"SeqNum":1,"Distance":77.63,"Speed":"0.28","Position":1,"Amplitude":25}]}
package:{"ShipCount":1,"TimeMark":523758,"Ships":[{"SeqNum":1,"Distance":77.63,"Speed":"0.28","Position":1,"Amplitude":28}]}
package:{"ShipCount":1,"TimeMark":525974,"Ships":[{"SeqNum":1,"Distance":77.63,"Speed":"0.28","Position":1,"Amplitude":22}]}
package:{"ShipCount":1,"TimeMark":528190,"Ships":[{"SeqNum":1,"Distance":79.1,"Speed":"0.28","Position":1,"Amplitude":17}]}
package:{"ShipCount":1,"TimeMark":530405,"Ships":[{"SeqNum":1,"Distance":79.1,"Speed":"0.28","Position":1,"Amplitude":22}]}
package:{"ShipCount":1,"TimeMark":532621,"Ships":[{"SeqNum":1,"Distance":80.56,"Speed":"0.28","Position":1,"Amplitude":31}]}
package:{"ShipCount":1,"TimeMark":534836,"Ships":[{"SeqNum":1,"Distance":82.03,"Speed":"0.32","Position":1,"Amplitude":15}]}
package:{"ShipCount":1,"TimeMark":537052,"Ships":[{"SeqNum":1,"Distance":83.49,"Speed":"0.32","Position":1,"Amplitude":22}]}
package:{"ShipCount":1,"TimeMark":539268,"Ships":[{"SeqNum":1,"Distance":83.49,"Speed":"0.32","Position":1,"Amplitude":20}]}
package:{"ShipCount":1,"TimeMark":541483,"Ships":[{"SeqNum":1,"Distance":83.49,"Speed":"0.32","Position":1,"Amplitude":13}]}
package:{"ShipCount":1,"TimeMark":543699,"Ships":[{"SeqNum":1,"Distance":83.49,"Speed":"0.36","Position":1,"Amplitude":15}]}
package:{"ShipCount":1,"TimeMark":545915,"Ships":[{"SeqNum":1,"Distance":86.42,"Speed":"0.36","Position":1,"Amplitude":10}]}
package:{"ShipCount":1,"TimeMark":548130,"Ships":[{"SeqNum":1,"Distance":83.49,"Speed":"0.36","Position":1,"Amplitude":8}]}
